patient_id,tile_id,tile_row,tile_col,tile_purity,n_spots,FMRP_signature_score,Cell_cycle_signature_score,YAP_signature_score,WNT_signature_score,EMT_signature_score,x_min_fullres,y_min_fullres,x_max_fullres,y_max_fullres,FMRP_signature_score_binary,Cell_cycle_signature_score_binary,YAP_signature_score_binary,WNT_signature_score_binary,EMT_signature_score_binary
CH_L_275a,7-14,7,14,0.3572290346724819,184,-0.019500354780098973,0.09926536411447065,0.41071612425235804,-0.05066067182166627,0.3762236594274401,34174,17087,36615,19528,0.0,0.0,0.0,0.0,0.0
CH_L_275a,8-11,8,11,0.7596751480289462,182,0.04612898195716462,0.1459159921243322,0.32295131928771686,-0.014160243569069067,0.3960261008029977,26851,19528,29292,21969,1.0,1.0,0.0,1.0,0.0
CH_L_275a,8-12,8,12,0.34512277392899593,175,0.03456603583731251,0.10478143959356735,0.32365432472423455,-0.039728362049172385,0.460124785266449,29292,19528,31733,21969,0.0,0.0,0.0,0.0,1.0
CH_L_275a,8-13,8,13,0.5048289490950764,184,0.006194538164928478,0.09395714210983687,0.3688474973657721,-0.056406177022153135,0.4333943731796869,31733,19528,34174,21969,0.0,0.0,0.0,0.0,0.0
CH_L_275a,8-14,8,14,0.6662471288903928,187,0.006230026857046098,0.15116409760373328,0.3762343434024555,-0.03271468110334597,0.3935315070025972,34174,19528,36615,21969,0.0,1.0,0.0,0.0,0.0
CH_L_275a,8-15,8,15,0.4174953805704114,186,-0.03510420192466767,0.08146400329040673,0.4184456818736329,-0.07890925620110556,0.3674899129031129,36615,19528,39056,21969,0.0,0.0,1.0,0.0,0.0
CH_L_275a,9-11,9,11,0.5992720835881862,187,0.004217366298648825,0.08168088769269628,0.37271603095218236,-0.021803711967429883,0.42327910920145523,26851,21969,29292,24410,0.0,0.0,0.0,0.0,0.0
CH_L_275a,9-12,9,12,0.6397478380893536,187,0.018132830915443068,0.06444761918110564,0.3652381461655966,-0.04475657184463386,0.4222181607409489,29292,21969,31733,24410,0.0,0.0,0.0,0.0,0.0
CH_L_275a,9-13,9,13,0.5131235027147355,190,-0.0133926235576816,0.04523130831603089,0.3997844911119157,-0.08197425503677237,0.4429583760123203,31733,21969,34174,24410,0.0,0.0,0.0,0.0,1.0
CH_L_275a,9-14,9,14,0.6773674837558311,175,-0.02670758429525609,0.0293098529597658,0.4366447744052892,-0.09085533270565352,0.43168555071058967,34174,21969,36615,24410,0.0,0.0,1.0,0.0,0.0
CH_L_275a,9-15,9,15,0.4903370104649214,177,-0.06572230374436654,0.030727915370003474,0.4841272151792536,-0.12378833861533255,0.3785127144190989,36615,21969,39056,24410,0.0,0.0,1.0,0.0,0.0
CH_L_276a,10-10,10,10,0.42877715237292313,184,-0.05284057953577949,0.10734165531807915,0.37473771580768833,-0.016027879357981386,0.42739713857369444,24200,24200,26620,26620,0.0,0.0,1.0,0.0,0.0
